rna0;XM_005088767.1
rna1111;XM_005089711.2
rna1112;XM_005089712.2
rna1113;XM_013082352.1
rna1114;XM_013082360.1
rna1115;XM_013082452.1
rna1116;XM_013082460.1
rna1117;XM_013082363.1
rna1118;XM_013082366.1
rna1119;XM_013082513.1
rna1120;XM_005089740.2
rna1121;XM_005089741.1
rna1122;XM_005089713.2
rna1123;XM_005089714.2
rna1124;XM_013082391.1
rna1125;XM_013082396.1
rna1126;XM_005089715.2
rna1127;XM_005089716.2
rna1128;XM_005089743.2
rna1129;XM_005089744.2
rna1130;XM_005089745.2
rna1131;XM_005089746.2
rna1132;XM_013082536.1
rna1133;XM_005089747.2
rna1134;XM_005089749.2
rna1135;XM_005089748.2
rna1136;XM_013082547.1
rna1137;XM_013082574.1
rna1138;XM_013082561.1
rna1139;XM_013082565.1
rna1140;XM_013082572.1
rna1141;XM_005089750.2
rna1142;XM_013082570.1
rna1143;XM_005089751.2
rna1144;XM_005089840.1
rna1145;XM_013082581.1
rna1146;XM_005089752.2
rna1147;XM_013082595.1
rna1148;XM_013082591.1
rna1149;XM_005089754.2
rna1150;XM_005089755.2
rna1151;XM_013082606.1
rna1152;XM_005089757.2
rna1153;XM_013082612.1
rna1154;XM_005089758.2
rna1155;XM_005089759.2
rna1156;XM_005089760.2
rna1157;XM_005089762.2
rna1158;XM_013082960.1
rna1160;XM_013082635.1
rna1161;XM_005089764.2
rna1162;XM_013082646.1
rna1163;XM_013082647.1
rna1164;XM_013082653.1
rna1165;XM_013082656.1
rna1166;XM_005089843.2
rna1167;XM_013082906.1
rna1168;XM_005089765.2
rna1169;XM_013082706.1
rna1170;XM_013082707.1
rna1171;XM_013082718.1
rna1172;XM_005089769.2
rna1174;XM_005089770.2
rna1175;XM_005089771.2
rna1176;XM_013082746.1
rna1177;XM_005089772.2
rna1178;XM_005089773.2
rna1179;XM_005089774.2
rna1180;XM_013082664.1
rna1181;XM_013082682.1
rna1182;XM_005089778.2
rna1183;XM_005089780.2
rna1184;XM_013082661.1
rna1185;XM_005089775.1
rna1186;XM_005089847.2
rna1187;XM_005089781.2
rna1188;XM_005089848.2
rna1189;XM_013082742.1
rna1190;XM_013082927.1
rna1191;XM_005089782.2
rna1192;XM_005089789.2
rna1193;XM_005089790.2
rna1194;XM_005089792.2
rna1195;XM_005089793.2
rna1196;XM_005089794.2
rna1197;XM_005089795.2
rna1198;XM_005089796.2
rna1199;XM_005089799.2
rna1200;XM_005089797.2
rna1201;XM_005089798.2
rna1202;XM_005089800.1
rna1203;XM_005089806.2
rna1204;XM_013082780.1
rna1205;XM_005089809.2
rna1206;XM_005089810.2
rna1207;XM_005089808.2
rna1208;XM_005089811.2
rna1209;XM_005089812.2
rna1210;NM_001204606.1
rna1211;XM_005089813.2
rna1212;XM_013082822.1
rna1213;XM_005089816.2
rna1214;XM_013082832.1
rna1215;XM_005089817.2
rna1217;XM_005089818.2
rna1218;XM_005089820.2
rna1219;XM_005089823.2
rna1220;XM_013082938.1
rna1221;XM_013082943.1
rna1222;XM_013082855.1
rna1223;XM_005089824.2
rna1224;XM_005089825.2
rna1225;XM_013082869.1
rna1226;XM_005089850.2
rna1227;XM_005089826.2
rna1228;XM_005089851.2
rna1229;XM_013082883.1
rna1230;XM_005089831.2
rna1231;XM_005089838.2
rna1232;XM_005089853.2
rna1233;XM_005089854.2
rna1234;XM_005089855.2
rna1235;XM_013082991.1
rna1236;XM_013082986.1
rna1237;XM_005089856.2
rna1238;XM_005089857.2
rna1239;XM_005089858.2
rna1240;XM_005089860.2
rna1241;XM_005089859.2
rna1242;XM_013083377.1
rna1243;XM_005089861.2
rna1244;XM_005089862.2
rna1245;XM_005089863.1
rna1246;XM_005089864.2
rna1247;XM_005089865.2
rna1248;XM_005089866.2
rna1250;XM_013083046.1
rna1251;XM_013083040.1
rna1252;XM_013083049.1
rna1253;XM_005089869.2
rna1254;XM_005089868.2
rna1255;XM_005089870.2
rna1256;XM_013083062.1
rna1257;XM_013083071.1
rna1258;XM_005089872.2
rna1259;XM_013083383.1
rna1260;XM_013083087.1
rna1261;XM_005089882.2
rna1262;XM_005089883.2
rna1263;XM_013083093.1
rna1264;XM_013083387.1
rna1265;XM_013083394.1
rna1266;XM_013083099.1
rna1267;XM_005089884.2
rna1268;XM_005089885.2
rna1269;XM_013083116.1
rna1270;XM_005089934.2
rna1271;XM_013083124.1
rna1272;XM_005089886.2
rna1273;XM_013083134.1
rna1274;XM_005089887.2
rna1275;XM_005089936.2
rna1276;XM_005089888.1
rna1277;XM_005089889.1
rna1278;XM_005089890.2
rna1279;XM_005089891.2
rna1280;XM_005089892.2
rna1281;XM_013083148.1
rna1282;XM_005089894.2
rna1283;XM_005089895.2
rna1284;XM_013083152.1
rna1286;XM_013083399.1
rna1288;XM_005089938.2
rna1289;XM_005089896.2
rna1290;XM_005089897.2
rna1291;XM_005089898.2
rna1292;XM_005089899.2
rna1293;XM_005089900.2
rna1294;XM_013083188.1
rna1295;XM_013083200.1
rna1299;XM_005089901.2
rna1300;XM_005089940.2
rna1301;XM_013083212.1
rna1302;XM_013083214.1
rna1303;XM_005089942.2
rna1304;XM_005089943.1
rna1305;XM_005089902.2
rna1306;XM_005089903.2
rna1307;XM_005089909.2
rna1308;XM_013083258.1
rna1309;XM_005089904.2
rna1310;XM_005089905.2
rna1311;XM_005089906.2
rna1312;XM_013083260.1
rna1313;XM_005089907.2
rna1314;XM_005089911.2
rna1315;XM_005089910.2
rna1316;XM_005089912.2
rna1317;XM_013083265.1
rna1318;XM_013083252.1
rna1319;XM_013083269.1
rna1320;XM_013083273.1
rna1321;XM_005089915.2
rna1322;XM_013083312.1
rna1323;XM_013083304.1
rna1324;XM_013083308.1
rna1325;XM_013083289.1
rna1326;XM_013083294.1
rna1327;XM_013083300.1
rna1328;XM_013083285.1
rna1329;XM_005089916.2
rna1330;XM_005089917.2
rna1331;XM_005089946.2
rna1332;XM_013083329.1
rna1333;XM_013083333.1
rna1334;XM_013083337.1
rna1335;XM_005089918.2
rna1336;XM_005089920.2
rna1337;XM_005089921.2
rna1338;XM_005089922.2
rna1339;XM_013083413.1
rna1340;XM_005089923.2
rna1341;XM_005089924.2
rna1342;XM_005089925.2
rna1343;XM_005089926.2
rna1344;XM_013083420.1
rna1345;XM_005089947.2
rna1346;XM_013083728.1
rna1347;XM_013083470.1
rna1348;XM_013083466.1
rna1349;XM_005090007.2
rna1350;XM_013083742.1
rna1351;XM_005090009.2
rna1352;XM_005089949.2
rna1353;XM_005089948.2
rna1354;XM_005089950.2
rna1355;XM_005090010.2
rna1356;XM_013083748.1
rna1357;XM_005089951.1
rna1358;XM_005089952.2
rna1359;XM_005089953.2
rna1360;XM_005089954.1
rna1361;NM_001204616.1
rna1362;XM_005089956.2
rna1363;XM_013083498.1
rna1364;XM_005089957.2
rna1365;XM_005089958.2
rna1366;XM_005089960.2
rna1367;XM_013083514.1
rna1368;XM_005089959.2
rna1369;XM_005089961.2
rna1370;XM_013083520.1
rna1371;XM_005090012.1
rna1372;XM_005089962.2
rna1373;XM_005089963.2
rna1374;XM_013083526.1
rna1375;XM_013083530.1
rna1376;XM_013083536.1
rna1377;XM_013083831.1
rna1378;XM_005089965.2
rna1379;XM_005089964.2
rna1380;XM_005089966.2
rna1381;XM_013083552.1
rna1382;XM_005089967.2
rna1383;XM_013083562.1
rna1384;XM_013083573.1
rna1385;XM_013083761.1
rna1386;XM_013083765.1
rna1387;XM_013083575.1
rna1388;XM_013083579.1
rna1389;XM_013083836.1
rna1390;XM_013083845.1
rna1391;XM_005089968.2
rna1392;XM_005090021.1
rna1393;XM_013083586.1
rna1394;XM_013083593.1
rna1395;XM_005090023.2
rna1396;XM_005089969.2
rna1397;XM_005089970.2
rna1398;XM_005089971.2
rna1399;XM_013083613.1
rna1400;XM_005090024.1
rna1401;XM_013083617.1
rna1402;XM_005089975.2
rna1403;XM_005089982.2
rna1404;XM_005089981.2
rna1405;XM_013083783.1
rna1406;XM_005089983.2
rna1407;XM_005089985.2
rna1408;XM_005089987.2
rna1409;XM_005089986.2
rna1410;XM_005089988.2
rna1411;XM_005089992.2
rna1412;XM_005090028.1
rna1413;XM_005089996.2
rna1414;XM_013083659.1
rna1415;XM_013083663.1
rna1416;XM_005089998.2
rna1417;XM_005089999.2
rna1418;XM_013083683.1
rna1419;XM_013083678.1
rna1420;XM_005090001.2
rna1421;XM_013083690.1
rna1422;XM_013083697.1
rna1423;XM_013083703.1
rna1424;XM_013083794.1
rna1425;XM_013083802.1
rna1426;XM_005090003.2
rna1427;XM_005090004.2
rna1428;XM_013083719.1
rna1429;XM_013083810.1
rna1430;XM_013083721.1
rna1431;XM_013083855.1
rna1432;XM_005090085.1
rna1433;XM_013083860.1
rna1434;XM_013083864.1
rna1435;XM_005090038.2
rna1436;XM_005090039.2
rna1437;XM_005090040.2
rna1438;XM_005090041.2
rna1439;XM_005090042.2
rna1440;XM_013083887.1
rna1441;XM_013083885.1
rna1442;XM_005090044.2
rna1443;XM_005090046.2
rna1444;XM_005090047.2
rna1445;XM_013083914.1
rna1446;XM_005090048.2
rna1447;XM_005090049.2
rna1448;XM_005090050.2
rna1449;XM_013083939.1
rna1450;XM_005090051.2
rna1451;XM_013083945.1
rna1452;XM_013083949.1
rna1453;XM_013083954.1
rna1455;XM_005090052.2
rna1456;XM_005090053.2
rna1457;XM_005090055.2
rna1458;XM_005090054.2
rna1459;XM_013083958.1
rna1460;XM_005090057.2
rna1461;XM_005090056.2
rna1462;XM_013083978.1
rna1463;XM_005090058.2
rna1464;XM_005090060.2
rna1465;XM_013083993.1
rna1466;XM_013083988.1
rna1467;XM_005090062.2
rna1468;XM_005090061.2
rna1469;XM_005090063.2
rna1470;XM_005090064.2
rna1471;XM_013084007.1
rna1472;XM_005090092.2
rna1475;XM_013084224.1
rna1476;XM_005090093.2
rna1477;XM_005090065.2
rna1478;XM_005090068.2
rna1479;XM_005090067.2
rna1480;XM_005090066.1
rna1481;XM_005090069.2
rna1482;XM_013084045.1
rna1483;XM_013084233.1
rna1484;XM_013084285.1
rna1485;XM_013084054.1
rna1486;XM_005090098.2
rna1487;XM_013084290.1
rna1488;XM_005090070.2
rna1489;XM_013084077.1
rna1490;XM_013084073.1
rna1491;XM_013084081.1
rna1492;XM_013084086.1
rna1493;XM_005090074.2
rna1494;XM_005090075.2
rna1495;XM_013084099.1
rna1496;XM_013084299.1
rna1497;XM_013084238.1
rna1498;XM_013084304.1
rna1499;XM_013084110.1
rna1500;XM_013084116.1
rna1501;XM_005090105.2
rna1502;XM_013084128.1
rna1503;XM_005090109.2
rna1504;XM_013084311.1
rna1505;XM_013084315.1
rna1506;XM_005090076.2
rna1507;XM_013084245.1
rna1508;XM_005090077.2
rna1509;XM_005090078.2
rna1510;XM_005090079.2
rna1511;XM_013084249.1
rna1512;XM_005090080.2
rna1513;XM_005090081.2
rna1514;XM_013084176.1
rna1515;XM_005090112.2
rna1516;XM_013084183.1
rna1517;XM_013084192.1
rna1518;XM_005090082.2
rna1519;XM_005090084.2
rna1520;NM_001204556.1
rna1521;XM_005090114.2
rna1522;XM_005090115.2
rna1523;XM_005090116.2
rna1524;XM_005090117.2
rna1525;XM_005090118.2
rna1526;XM_005090119.2
rna1527;XM_005090120.2
rna1528;XM_005090121.2
rna1529;XM_005090122.2
rna1530;XM_013084404.1
rna1531;XM_005090123.2
rna1532;XM_005090124.2
rna1533;XM_005090125.2
rna1534;XM_005090126.2
rna1535;XM_005090127.2
rna1536;XM_013084337.1
rna1537;XM_013084341.1
rna1538;XM_013084349.1
rna1539;XM_013084353.1
rna1540;NM_001256437.1
rna1541;XM_005090128.2
rna1542;XM_013084450.1
rna1543;XM_005090131.2
rna1544;XM_005090130.2
rna1545;XM_005090129.2
rna1546;XM_005090132.2
rna1547;XM_005090133.2
rna1548;XM_013084463.1
rna1549;XM_013084468.1
rna1550;XM_005090135.2
rna1551;XM_005090137.2
rna1552;XM_005090136.2
rna1553;XM_005090138.1
rna1554;XM_005090139.2
rna1555;XM_005090197.1
rna1556;XM_005090140.2
rna1557;XM_013084495.1
rna1558;XM_005090141.2
rna1559;XM_005090142.2
rna1560;XM_013084506.1
rna1561;XM_013084513.1
rna1563;XM_005090143.2
rna1564;XM_005090144.2
rna1565;XM_013084530.1
rna1566;XM_005090146.2
rna1567;XM_005090145.2
rna1568;XM_005090147.2
rna1569;XM_013084539.1
rna1570;XM_013084546.1
rna1571;XM_005090148.2
rna1572;XM_005090149.2
rna1573;XM_013084566.1
rna1574;XM_005090150.2
rna1575;XM_013084615.1
rna1576;XM_013084605.1
rna1577;XM_013084601.1
rna1578;XM_013084595.1
rna1579;XM_013084606.1
rna1580;XM_013084611.1
rna1581;XM_013084583.1
rna1582;XM_013084579.1
rna1583;XM_005090152.2
rna1584;XM_005090154.2
rna1585;XM_013084629.1
rna1586;XM_013084633.1
rna1587;XM_013084640.1
rna1589;XM_013084328.1
rna1590;XM_013084330.1
rna1591;NM_001204487.1
rna1592;XM_005090156.2
rna1593;XM_013084654.1
rna1594;XM_013084649.1
rna1595;XM_005090201.2
rna1596;XM_005090159.2
rna1597;XM_005090160.2
rna1598;XM_005090161.2
rna1599;XM_013084685.1
rna1600;XM_005090162.2
rna1601;XM_005090163.2
rna1602;XM_005090164.2
rna1603;XM_013084696.1
rna1604;XM_005090166.2
rna1605;XM_013084712.1
rna1606;XM_013084705.1
rna1607;XM_013084717.1
rna1608;XM_005090165.1
rna1609;XM_013084888.1
rna1610;XM_013084726.1
rna1611;XM_013084731.1
rna1612;XM_013084734.1
rna1613;XM_013084740.1
rna1614;XM_013084743.1
rna1615;XM_013084749.1
rna1616;XM_013084744.1
rna1617;XM_005090169.2
rna1618;XM_013084754.1
rna1619;XM_005090205.1
rna1620;XM_013084762.1
rna1621;XM_013084769.1
rna1622;XM_013084893.1
rna1626;XM_005090180.2
rna1627;XM_013084785.1
rna1628;XM_005090182.2
rna1629;XM_005090181.2
rna1630;XM_005090183.2
rna1631;XM_005090184.2
rna1632;XM_005090185.2
rna1633;XM_005090186.2
rna1634;XM_005090187.2
rna1635;XM_005090188.2
rna1636;XM_005090192.2
rna1637;XM_005090191.2
rna1638;XM_005090190.2
rna1639;XM_005090193.2
rna1640;XM_005090189.2
rna1641;XM_005090194.2
rna1642;XM_013084859.1
rna1643;XM_013084854.1
rna1644;XM_013084865.1
rna1645;XM_013084844.1
rna1646;XM_013084841.1
rna1647;XM_005090195.2
rna1648;XM_013084916.1
rna1649;XM_005090206.2
rna1650;XM_013085111.1
rna1651;XM_013084909.1
rna1652;XM_013084922.1
rna1653;XM_013084928.1
rna1654;XM_005090208.1
rna1655;XM_013085117.1
rna1656;XM_005090209.2
rna1657;XM_005090210.2
rna1658;XM_013084949.1
rna1659;XM_005090211.2
rna1660;XM_005090212.2
rna1664;XM_013084958.1
rna1665;XM_005090214.2
rna1666;XM_013085006.1
rna1667;XM_013085002.1
rna1668;XM_013084995.1
rna1669;XM_013084991.1
rna1670;XM_013084979.1
rna1671;XM_013084985.1
rna1672;XM_013084976.1
rna1673;XM_013084998.1
rna1674;XM_013084969.1
rna1675;XM_013085014.1
rna1676;XM_013085012.1
rna1677;XM_013085008.1
rna1678;XM_013084967.1
rna1679;NM_001204724.1
rna1680;XM_005090243.1
rna1681;XM_013085025.1
rna1682;XM_005090245.2
rna1683;XM_005090247.2
rna1684;XM_005090248.2
rna1685;XM_013085127.1
rna1686;XM_005090267.1
rna1687;XM_005090249.2
rna1688;XM_005090250.2
rna1689;XM_005090251.1
rna1690;XM_013085135.1
rna1691;XM_005090252.2
rna1692;XM_005090269.2
rna1693;XM_005090270.1
rna1694;XM_005090253.1
rna1695;XM_013085180.1
rna1696;XM_013085141.1
rna1697;XM_013085065.1
rna1698;XM_013085063.1
rna1699;XM_005090255.2
rna1702;XM_005090256.2
rna1703;XM_005090257.2
rna1704;XM_005090258.2
rna1705;XM_013085148.1
rna1706;XM_013085085.1
rna1707;XM_005090259.2
rna1708;XM_013085100.1
rna1709;XM_013085195.1
rna1710;XM_013085200.1
rna1711;XM_013085204.1
rna1712;XM_005090275.2
rna1713;XM_005090276.2
rna1714;XM_005090277.2
rna1715;XM_005090332.2
rna1716;XM_005090278.2
rna1717;XM_005090281.2
rna1718;XM_005090280.2
rna1719;XM_005090282.2
rna1720;XM_005090283.2
rna1721;XM_013085482.1
rna1722;XM_013085245.1
rna1723;XM_013085252.1
rna1724;XM_005090285.2
rna1725;XM_005090284.2
rna1726;XM_013085266.1
rna1727;XM_005090287.2
rna1728;XM_005090286.2
rna1729;XM_013085274.1
rna1730;XM_013085279.1
rna1731;XM_005090290.2
rna1732;XM_005090291.2
rna1733;XM_013085489.1
rna1734;XM_005090292.2
rna1736;XM_005090296.2
rna1737;XM_005090338.1
rna1738;XM_005090339.2
rna1739;XM_005090297.2
rna1740;XM_013085313.1
rna1741;XM_013085318.1
rna1742;XM_005090299.2
rna1743;XM_005090300.2
rna1744;XM_005090301.2
rna1745;XM_013085338.1
rna1746;XM_013085343.1
rna1747;XM_005090302.2
rna1748;XM_013085355.1
rna1749;XM_013085500.1
rna1750;XM_005090304.1
rna1751;XM_005090305.2
rna1752;XM_013085366.1
rna1753;XM_005090306.2
rna1754;XM_005090307.2
rna1755;XM_005090308.2
rna1756;XM_013085381.1
rna1757;XM_005090309.2
rna1758;XM_005090310.2
rna1759;XM_005090311.2
rna1760;XM_005090312.2
rna1761;XM_013085389.1
rna1762;XM_005090314.2
rna1763;XM_005090313.2
rna1764;XM_013085395.1
rna1765;XM_005090315.2
rna1766;XM_005090316.2
rna1767;XM_013085513.1
rna1768;XM_013085519.1
rna1769;XM_013085524.1
rna1770;XM_013085414.1
rna1771;XM_013085529.1
rna1772;XM_005090317.2
rna1773;XM_005090318.2
rna1774;XM_013085574.1
rna1775;XM_013085530.1
rna1776;XM_005090319.2
rna1777;XM_013085426.1
rna1778;XM_005090320.2
rna1779;XM_005090321.2
rna1780;XM_005090323.2
rna1781;XM_005090325.2
rna1782;XM_005090324.2
rna1783;XM_013085445.1
rna1784;XM_013085533.1
rna1785;XM_005090326.2
rna1786;XM_005090328.2
rna1787;XM_005090327.2
rna1788;XM_013085466.1
rna1790;XM_005090330.2
rna1791;XM_005090331.2
rna1792;XM_005090351.2
rna1793;XM_005090353.2
rna1794;XM_005090352.2
rna1795;XM_005090354.2
rna1796;XM_013085636.1
rna1797;XM_005090356.2
rna1798;XM_005090357.2
rna1799;XM_013085649.1
rna1800;XM_013085658.1
rna1801;XM_013085654.1
rna1802;XM_013085663.1
rna1803;XM_005090359.2
rna1804;XM_013085673.1
rna1805;XM_013085677.1
rna1807;XM_013085681.1
rna1808;XM_005090362.2
rna1809;XM_005090365.2
rna1810;XM_013085930.1
rna1811;XM_013085933.1
rna1812;XM_005090366.2
rna1813;XM_013085697.1
rna1814;XM_013085705.1
rna1815;XM_005090438.2
rna1816;XM_005090368.2
rna1817;XM_005090367.2
rna1818;XM_005090439.2
rna1819;XM_013085730.1
rna1820;XM_013085732.1
rna1821;XM_005090370.2
rna1822;XM_005090369.2
rna1823;NM_001204716.1
rna1824;XM_005090371.2
rna1825;XM_013085753.1
rna1826;XM_005090372.2
rna1827;XM_013085944.1
rna1828;XM_013085761.1
rna1829;XM_013085768.1
rna1830;XM_005090374.2
rna1831;XM_013085776.1
rna1832;NM_001204657.1
rna1833;XM_005090387.2
rna1834;XM_005090389.2
rna1835;XM_005090388.2
rna1836;XM_005090391.2
rna1837;XM_005090390.2
rna1838;XM_013085798.1
rna1840;XM_013085801.1
rna1841;XM_005090397.2
rna1842;XM_005090394.2
rna1843;XM_005090395.2
rna1844;XM_005090396.2
rna1845;NM_001280807.1
rna1846;XM_013085948.1
rna1847;XM_013085820.1
rna1848;XM_013085826.1
rna1849;XM_005090400.2
rna1850;XM_005090399.2
rna1851;XM_005090401.2
rna1852;XM_005090403.2
rna1853;XM_005090404.2
rna1854;XM_005090402.2
rna1855;XM_005090405.2
rna1856;XM_005090407.2
rna1857;XM_005090406.2
rna1858;XM_005090408.2
rna1859;XM_013085871.1
rna1860;XM_005090422.2
rna1861;XM_005090423.2
rna1862;XM_005090424.2
rna1863;XM_013085890.1
rna1864;XM_013085598.1
rna1865;XM_013085599.1
rna1866;XM_013085601.1
rna1867;NM_001204530.1
rna1868;XM_005090425.2
rna1869;XM_005090426.2
rna1870;XM_013085907.1
rna1871;XM_005090428.2
rna1872;XM_013085919.1
rna1873;XM_013085923.1
rna1874;XM_013085961.1
rna1875;XM_005090449.2
rna1876;XM_005090471.1
rna1877;XM_013086130.1
rna1878;XM_005090450.2
rna1879;XM_013086172.1
rna1880;XM_013086132.1
rna1881;XM_013085978.1
rna1882;XM_013085984.1
rna1884;XM_013085988.1
rna1885;XM_005090451.2
rna1886;XM_005090456.2
rna1887;XM_005090452.2
rna1888;XM_005090454.2
rna1889;XM_005090453.2
rna1890;XM_005090455.2
rna1891;XM_005090457.2
rna1892;XM_005090458.1
rna1893;XM_005090459.1
rna1894;XM_005090461.2
rna1895;XM_013086021.1
rna1897;XM_013086044.1
rna1898;XM_013086034.1
rna1899;XM_005090462.2
rna1900;XM_013086038.1
rna1901;XM_005090466.2
rna1902;XM_013086052.1
rna1903;XM_013086060.1
rna1904;XM_005090475.2
rna1905;XM_013086065.1
rna1906;XM_005090476.1
rna1907;XM_005090477.1
rna1908;XM_005090478.1
rna1909;XM_005090479.1
rna1910;XM_013086070.1
rna1911;XM_005090467.2
rna1912;XM_013086076.1
rna1913;XM_005090468.2
rna1914;XM_013086084.1
rna1923;XM_005090469.2
rna1924;XM_013086162.1
rna1925;XM_005090484.2
rna1926;XM_013086088.1
rna1927;XM_013086092.1
rna1928;XM_013086095.1
rna1929;XM_013086450.1
rna1930;XM_005090486.2
rna1931;XM_013086494.1
rna1932;XM_013086500.1
rna1933;XM_005090487.2
rna1934;XM_013086222.1
rna1935;XM_005090526.1
rna1936;XM_005090490.2
rna1937;XM_013086232.1
rna1938;XM_013086228.1
rna1939;XM_013086236.1
rna1940;XM_013086243.1
rna1941;XM_005090491.2
rna1942;XM_013086252.1
rna1943;XM_013086263.1
rna1945;XM_005090492.2
rna1946;XM_005090493.2
rna1947;XM_005090494.2
rna1948;XM_013086282.1
rna1949;XM_013086464.1
rna1950;XM_005090495.2
rna1951;XM_013086291.1
rna1952;XM_005090496.2
rna1954;XM_005090497.2
rna1955;XM_013086301.1
rna1956;XM_013086468.1
rna1957;XM_005090499.2
rna1958;XM_005090501.2
rna1959;XM_005090502.2
rna1960;XM_013086339.1
rna1961;XM_005090504.2
rna1962;XM_013086318.1
rna1964;XM_013086321.1
rna1965;XM_005090505.2
rna1966;XM_005090506.2
rna1967;XM_005090507.2
rna1968;XM_005090509.2
rna1969;XM_005090510.2
rna1970;XM_005090511.1
rna1971;XM_013086381.1
rna1972;XM_013086384.1
rna1973;XM_013086389.1
rna1974;XM_005090538.1
rna1975;XM_013086397.1
rna1978;XM_013086481.1
rna1979;XM_005090513.2
rna1980;XM_005090514.2
rna1981;XM_005090515.2
rna1982;XM_013086440.1
rna1983;XM_005090516.2
rna1984;XM_005090520.2
rna1985;XM_005090519.2
rna1986;XM_005090521.2
rna1987;XM_005090518.2
rna1988;XM_005090517.2
rna1989;XM_005090522.2
rna1990;XM_013086487.1
rna1991;XM_013086514.1
rna1992;XM_013086519.1
rna1993;XM_013086545.1
rna1994;XM_013086896.1
rna1995;XM_005090540.2
rna1996;NM_001204636.1
rna1997;NM_001204624.1
rna1998;XM_005090541.2
rna1999;NM_001204482.1
rna2000;XM_005090543.2
rna2001;XM_005090542.2
rna2002;XM_005090545.2
rna2003;XM_005090544.2
rna2004;XM_005090546.2
rna2005;XM_013086579.1
rna2006;XM_013086899.1
rna2007;XM_005090547.2
rna2008;XM_013086597.1
rna2009;XM_013086593.1
rna2010;XM_013086604.1
rna2011;XM_013086610.1
rna2012;XM_013086618.1
rna2013;XM_013086625.1
rna2014;XM_005090551.2
rna2015;XM_013086939.1
rna2016;XM_013086905.1
rna2017;XM_013086632.1
rna2018;XM_013086637.1
rna2019;XM_005090552.2
rna2021;XM_013086910.1
rna2022;XM_013086914.1
rna2023;XM_013086645.1
rna2025;XM_013086652.1
rna2026;XM_005090554.2
rna2027;XM_013086660.1
rna2028;XM_005090603.1
rna2029;XM_013086690.1
rna2030;XM_013086677.1
rna2031;XM_013086694.1
rna2032;XM_013086702.1
rna2033;XM_013086675.1
rna2034;XM_013086680.1
rna2035;XM_013086673.1
rna2036;XM_013086684.1
rna2038;XM_013086706.1
rna2039;XM_013086924.1
rna2040;XM_005090555.2
rna2041;XM_005090556.1
rna2042;XM_005090557.2
rna2043;XM_005090605.2
rna2044;XM_013086729.1
rna2045;XM_005090559.2
rna2046;XM_005090560.2
rna2047;XM_013086742.1
rna2048;XM_005090561.2
rna2049;XM_005090562.2
rna2050;XM_005090564.1
rna2051;XM_005090563.2
rna2052;XM_013086762.1
rna2053;XM_005090565.2
rna2054;XM_005090567.2
rna2055;XM_005090566.2
rna2056;XM_005090568.2
rna2057;XM_005090569.2
rna2058;XM_005090607.2
rna2059;XM_013086785.1
rna2060;XM_013086955.1
rna2061;XM_005090570.2
rna2062;XM_013086792.1
rna2064;XM_005090571.2
rna2065;XM_005090574.2
rna2066;XM_005090576.1
rna2067;XM_013086816.1
rna2068;XM_013086821.1
rna2069;XM_005090581.2
rna2070;XM_005090582.2
rna2071;XM_005090578.2
rna2072;XM_005090583.2
rna2073;XM_005090584.2
rna2074;XM_005090579.2
rna2075;XM_005090577.2
rna2076;XM_005090580.2
rna2077;XM_005090586.2
rna2078;XM_005090588.1
rna2079;XM_005090589.2
rna2080;XM_013086959.1
rna2081;XM_013086873.1
rna2082;XM_005090590.2
rna2083;XM_005090591.2
rna2084;XM_005090592.2
rna2085;XM_013086887.1
rna2086;XM_005090613.2
rna2087;XM_005090614.2
rna2088;XM_005090699.1
rna2089;XM_013087313.1
rna2090;XM_013087307.1
rna2091;XM_013087282.1
